NONMAN_AUTO,NONMAN_TRANSIT,NONMAN_NONMOTOR,NONMAN_SOV_0,NONMAN_SOV_1,NONMAN_SOV_2,NONMAN_HOV_0,NONMAN_HOV_1,NONMAN_HOV_2,SHOP_HOV_0,SHOP_HOV_1,SHOP_HOV_2,MAINT_HOV_0,MAINT_HOV_1,MAINT_HOV_2,EAT_HOV_0,EAT_HOV_1,EAT_HOV_2,VISIT_HOV_0,VISIT_HOV_1,VISIT_HOV_2,DISCR_HOV_0,DISCR_HOV_1,DISCR_HOV_2,ESCORT_HOV_0,ESCORT_HOV_1,ESCORT_HOV_2,SHOP_SOV_0,SHOP_SOV_1,SHOP_SOV_2,MAINT_SOV_0,MAINT_SOV_1,MAINT_SOV_2,EAT_SOV_0,EAT_SOV_1,EAT_SOV_2,VISIT_SOV_0,VISIT_SOV_1,VISIT_SOV_2,DISCR_SOV_0,DISCR_SOV_1,DISCR_SOV_2,ATWORK_SOV_0,ATWORK_SOV_2,TOTAL_EMP,ATWORK_NM,ALL_HHS_TRANSIT,NONMAN_MAAS,MGRA
13.62485,11.35477,10.1514,11.25683,15.64286,17.1289,14.73792,15.72327,15.2339,11.70907,12.69634,12.20577,13.10064,14.08814,13.59743,13.52837,14.51795,14.02572,12.74194,13.7331,13.23983,11.93639,12.92633,12.43373,14.81313,15.80106,15.31013,8.09918,12.61557,14.1032,9.47533,14.00556,15.49333,9.72358,14.4378,15.92763,8.78542,13.65295,15.14415,8.08896,12.84596,14.33628,8.03069,13.81182,16.48478,6.95252,10.07539,12.55693,34
13.62485,12.4507,10.33318,12.13168,15.67064,17.13525,14.78005,15.74893,15.27543,11.75008,12.7212,12.24605,13.13919,14.11159,13.63546,13.5581,14.53615,14.05532,12.76766,13.74889,13.26557,11.96566,12.94413,12.46268,14.85139,15.82446,15.34807,9.03423,12.64248,14.10934,10.38176,14.031,15.49914,10.58023,14.4575,15.9321,9.64493,13.67005,15.14802,8.96122,12.86523,14.34066,8.90313,13.81873,16.49341,7.14904,11.13318,12.55693,35
13.62485,11.36604,10.1639,11.26851,15.64306,17.12895,14.73828,15.72346,15.23421,11.70916,12.69639,12.20585,13.10086,14.08824,13.5976,13.52891,14.51823,14.02617,12.7425,13.73338,13.24029,11.93672,12.92651,12.43402,14.8136,15.8013,15.31052,8.10268,12.61562,14.10321,9.48352,14.00567,15.49336,9.74719,14.4381,15.9277,8.814,13.65326,15.14422,8.10463,12.84615,14.33632,8.03986,13.81186,16.48484,6.96242,10.09965,12.55693,36
13.62485,12.26216,10.2406,11.95966,15.66333,17.13356,14.76881,15.74216,15.26455,11.73887,12.71455,12.23533,13.12899,14.10544,13.62554,13.55078,14.5316,14.04796,12.76158,13.74505,13.25933,11.95799,12.93949,12.45517,14.8416,15.81846,15.33839,8.84975,12.63529,14.10769,10.2075,14.02433,15.4976,10.4255,14.45258,15.93098,9.49674,13.6659,15.14708,8.79376,12.86021,14.33951,8.72867,13.81687,16.49114,7.04322,10.95246,12.55693,37
13.62485,10.72497,10.14872,10.8807,15.63641,17.12744,14.72822,15.71732,15.22418,11.69827,12.68978,12.19503,13.09068,14.08203,13.58743,13.52199,14.51398,14.01921,12.73647,13.72967,13.23421,11.92955,12.92213,12.42685,14.80475,15.79586,15.30162,7.59381,12.60845,14.10159,9.01028,13.99892,15.49184,9.38698,14.43349,15.92666,8.44984,13.64923,15.14331,7.70378,12.84141,14.33525,7.64652,13.8102,16.48284,6.94357,9.52977,12.55693,38
13.66007,12.52339,10.39866,12.20318,15.70754,17.17086,14.81774,15.78555,15.31299,11.78492,12.75477,12.28071,13.17409,14.14536,13.67022,13.59464,14.5721,14.09186,12.80348,13.78425,13.30141,12.00347,12.98124,12.50045,14.88482,15.85688,15.38142,9.11118,12.67643,14.14181,10.45618,14.06584,15.53266,10.64494,14.49365,15.96747,9.70722,13.7056,15.18292,9.03182,12.90258,14.37713,8.97565,13.85459,16.52605,7.2179,11.20036,12.61677,39
13.62485,12.28864,10.24514,11.98225,15.66424,17.13377,14.77018,15.74301,15.26591,11.74031,12.71541,12.23672,13.13014,14.10617,13.62672,13.55154,14.53212,14.04879,12.76216,13.74546,13.26,11.95882,12.94001,12.45601,14.84271,15.81917,15.33954,8.87535,12.63622,14.1079,10.22857,14.02513,15.49779,10.44279,14.45313,15.9311,9.51182,13.66634,15.14718,8.81318,12.86077,14.33964,8.75192,13.81711,16.49142,7.05095,10.97644,12.55693,40
13.62485,11.32803,10.2068,11.25803,15.64273,17.12887,14.73796,15.72315,15.23371,11.70879,12.6961,12.20538,13.10057,14.08798,13.59717,13.52867,14.51799,14.02578,12.74228,13.73317,13.23994,11.93645,12.92627,12.43363,14.81336,15.80104,15.3101,8.08898,12.61531,14.10314,9.47272,14.00538,15.49329,9.73689,14.43784,15.92764,8.80308,13.65303,15.14416,8.09171,12.8459,14.33626,8.03008,13.81178,16.48475,7.00405,10.05857,12.55693,41
13.66007,12.28864,10.25662,11.98428,15.69818,17.16871,14.80324,15.77689,15.29906,11.77039,12.74619,12.26688,13.16064,14.13735,13.6573,13.58513,14.56628,14.08243,12.79554,13.77931,13.2934,11.99351,12.97525,12.49074,14.87208,15.84915,15.36895,8.87675,12.66714,14.13968,10.23016,14.05716,15.53066,10.44549,14.48735,15.96603,9.5148,13.70026,15.1817,8.81687,12.89609,14.37565,8.75374,13.85221,16.52312,7.06084,10.97644,12.61677,42
13.66007,12.25481,10.19748,11.946,15.69683,17.1684,14.801,15.77564,15.29705,11.76843,12.74508,12.26509,13.1587,14.13626,13.65554,13.58344,14.56534,14.0809,12.79405,13.77849,13.29205,11.99199,12.97441,12.48937,14.87016,15.84808,15.36722,8.84062,12.66595,14.1394,10.19316,14.05598,15.53039,10.40566,14.48633,15.9658,9.47464,13.69937,15.1815,8.77985,12.89518,14.37544,8.71555,13.85188,16.52275,7.00236,10.94109,12.61677,43
13.66007,12.25952,10.24722,11.95869,15.69719,17.16848,14.80173,15.77598,15.29759,11.7689,12.74529,12.26543,13.15926,14.13651,13.65594,13.58412,14.56565,14.0814,12.79468,13.77877,13.29252,11.99256,12.97467,12.48979,14.8708,15.84836,15.36768,8.84938,12.66618,14.13945,10.20399,14.05625,15.53045,10.4219,14.48667,15.96587,9.49191,13.69968,15.18157,8.79394,12.89546,14.3755,8.72786,13.85196,16.52283,7.04964,10.94789,12.61677,44
13.66007,12.22324,10.18362,11.91754,15.69578,17.16816,14.79938,15.77467,15.29548,11.76682,12.74413,12.26355,13.15723,14.13538,13.65411,13.58235,14.56467,14.07981,12.79313,13.77791,13.29112,11.99094,12.97376,12.48832,14.86872,15.84719,15.36579,8.81009,12.66492,14.13916,10.1642,14.05502,15.53017,10.37912,14.48561,15.96563,9.44871,13.69874,15.18136,8.75333,12.89448,14.37528,8.68684,13.85161,16.52241,6.98675,10.90985,12.61677,45
13.66007,12.13171,10.23686,11.85315,15.69328,17.16759,14.79589,15.77236,15.29175,11.76403,12.74232,12.26062,13.15438,14.13351,13.65108,13.5799,14.56304,14.07715,12.7911,13.77655,13.28889,11.98803,12.97187,12.48524,14.86464,15.84455,15.3615,8.75511,12.66296,14.13872,10.10583,14.05299,15.52971,10.31715,14.48384,15.96523,9.38965,13.69726,15.18102,8.67637,12.89243,14.37482,8.62148,13.85098,16.52139,7.03688,10.82414,12.61677,46
13.66007,11.32083,10.16811,11.23994,15.67709,17.1639,14.77142,15.75742,15.26747,11.7396,12.72739,12.23634,13.13154,14.11956,13.62839,13.56219,14.55224,14.05956,12.77547,13.76703,13.27336,11.97144,12.96178,12.46878,14.84283,15.83123,15.33983,8.08329,12.64679,14.13504,9.45927,14.03787,15.52628,9.70318,14.47215,15.96259,8.76331,13.68696,15.1787,8.0765,12.8815,14.37235,8.01474,13.847,16.51659,6.96667,10.03039,12.61677,47
13.66007,11.32187,10.13204,11.22843,15.67696,17.16387,14.77108,15.7573,15.26728,11.73941,12.72732,12.23624,13.13127,14.11946,13.62823,13.56188,14.55213,14.05937,12.77519,13.76693,13.27319,11.97119,12.96169,12.46863,14.84252,15.83112,15.33965,8.07591,12.64672,14.13503,9.44843,14.03776,15.52626,9.68841,14.47203,15.96256,8.74761,13.68685,15.17867,8.06406,12.8814,14.37232,8.00341,13.84697,16.51655,6.93202,10.0314,12.61677,48
13.66007,12.47305,10.45423,12.17105,15.70579,17.17046,14.81542,15.78393,15.31039,11.7823,12.75311,12.27803,13.17159,14.14377,13.66765,13.59298,14.57094,14.08996,12.80197,13.78321,13.29973,12.00159,12.98006,12.49853,14.88279,15.85549,15.37918,9.07262,12.67463,14.1414,10.41769,14.06411,15.53226,10.61273,14.49238,15.96718,9.67347,13.70447,15.18267,8.99456,12.90129,14.37684,8.94419,13.85415,16.52555,7.27305,11.15031,12.61677,49
13.66007,11.33852,10.27069,11.28752,15.67775,17.16405,14.77284,15.75803,15.26848,11.74078,12.72793,12.23723,13.13262,14.12005,13.62919,13.56289,14.55253,14.06003,12.77591,13.7672,13.27363,11.97206,12.96206,12.46922,14.84385,15.83166,15.34053,8.12812,12.64737,14.13517,9.5007,14.0384,15.5264,9.73606,14.47246,15.96266,8.78738,13.68715,15.17874,8.10621,12.8818,14.37241,8.06632,13.84719,16.51678,7.07378,10.03119,12.61677,50
