NONMAN_AUTO,NONMAN_TRANSIT,NONMAN_NONMOTOR,NONMAN_SOV_0,NONMAN_SOV_1,NONMAN_SOV_2,NONMAN_HOV_0,NONMAN_HOV_1,NONMAN_HOV_2,SHOP_HOV_0,SHOP_HOV_1,SHOP_HOV_2,MAINT_HOV_0,MAINT_HOV_1,MAINT_HOV_2,EAT_HOV_0,EAT_HOV_1,EAT_HOV_2,VISIT_HOV_0,VISIT_HOV_1,VISIT_HOV_2,DISCR_HOV_0,DISCR_HOV_1,DISCR_HOV_2,ESCORT_HOV_0,ESCORT_HOV_1,ESCORT_HOV_2,SHOP_SOV_0,SHOP_SOV_1,SHOP_SOV_2,MAINT_SOV_0,MAINT_SOV_1,MAINT_SOV_2,EAT_SOV_0,EAT_SOV_1,EAT_SOV_2,VISIT_SOV_0,VISIT_SOV_1,VISIT_SOV_2,DISCR_SOV_0,DISCR_SOV_1,DISCR_SOV_2,ATWORK_SOV_0,ATWORK_SOV_2,TOTAL_EMP,ATWORK_NM,ALL_HHS_TRANSIT,NONMAN_MAAS,MGRA
13.62485,11.36604,10.1639,11.26851,15.64306,17.12895,14.73828,15.72346,15.23421,11.70916,12.69639,12.20585,13.10086,14.08824,13.5976,13.52891,14.51823,14.02617,12.7425,13.73338,13.24029,11.93672,12.92651,12.43402,14.8136,15.8013,15.31052,8.10268,12.61562,14.10321,9.48352,14.00567,15.49336,9.74719,14.4381,15.9277,8.814,13.65326,15.14422,8.10463,12.84615,14.33632,8.03986,13.81186,16.48484,6.96242,10.09965,12.55693,24
13.62485,12.26216,10.2406,11.95966,15.66333,17.13356,14.76881,15.74216,15.26455,11.73887,12.71455,12.23533,13.12899,14.10544,13.62554,13.55078,14.5316,14.04796,12.76158,13.74505,13.25933,11.95799,12.93949,12.45517,14.8416,15.81846,15.33839,8.84975,12.63529,14.10769,10.2075,14.02433,15.4976,10.4255,14.45258,15.93098,9.49674,13.6659,15.14708,8.79376,12.86021,14.33951,8.72867,13.81687,16.49114,7.04322,10.95246,12.55693,25
13.62485,10.72497,10.14872,10.8807,15.63641,17.12744,14.72822,15.71732,15.22418,11.69827,12.68978,12.19503,13.09068,14.08203,13.58743,13.52199,14.51398,14.01921,12.73647,13.72967,13.23421,11.92955,12.92213,12.42685,14.80475,15.79586,15.30162,7.59381,12.60845,14.10159,9.01028,13.99892,15.49184,9.38698,14.43349,15.92666,8.44984,13.64923,15.14331,7.70378,12.84141,14.33525,7.64652,13.8102,16.48284,6.94357,9.52977,12.55693,26
13.66007,12.52339,10.39866,12.20318,15.70754,17.17086,14.81774,15.78555,15.31299,11.78492,12.75477,12.28071,13.17409,14.14536,13.67022,13.59464,14.5721,14.09186,12.80348,13.78425,13.30141,12.00347,12.98124,12.50045,14.88482,15.85688,15.38142,9.11118,12.67643,14.14181,10.45618,14.06584,15.53266,10.64494,14.49365,15.96747,9.70722,13.7056,15.18292,9.03182,12.90258,14.37713,8.97565,13.85459,16.52605,7.2179,11.20036,12.61677,27
13.62485,12.28864,10.24514,11.98225,15.66424,17.13377,14.77018,15.74301,15.26591,11.74031,12.71541,12.23672,13.13014,14.10617,13.62672,13.55154,14.53212,14.04879,12.76216,13.74546,13.26,11.95882,12.94001,12.45601,14.84271,15.81917,15.33954,8.87535,12.63622,14.1079,10.22857,14.02513,15.49779,10.44279,14.45313,15.9311,9.51182,13.66634,15.14718,8.81318,12.86077,14.33964,8.75192,13.81711,16.49142,7.05095,10.97644,12.55693,28
13.62485,11.32803,10.2068,11.25803,15.64273,17.12887,14.73796,15.72315,15.23371,11.70879,12.6961,12.20538,13.10057,14.08798,13.59717,13.52867,14.51799,14.02578,12.74228,13.73317,13.23994,11.93645,12.92627,12.43363,14.81336,15.80104,15.3101,8.08898,12.61531,14.10314,9.47272,14.00538,15.49329,9.73689,14.43784,15.92764,8.80308,13.65303,15.14416,8.09171,12.8459,14.33626,8.03008,13.81178,16.48475,7.00405,10.05857,12.55693,29
13.66007,12.28864,10.25662,11.98428,15.69818,17.16871,14.80324,15.77689,15.29906,11.77039,12.74619,12.26688,13.16064,14.13735,13.6573,13.58513,14.56628,14.08243,12.79554,13.77931,13.2934,11.99351,12.97525,12.49074,14.87208,15.84915,15.36895,8.87675,12.66714,14.13968,10.23016,14.05716,15.53066,10.44549,14.48735,15.96603,9.5148,13.70026,15.1817,8.81687,12.89609,14.37565,8.75374,13.85221,16.52312,7.06084,10.97644,12.61677,30
13.66007,12.25481,10.19748,11.946,15.69683,17.1684,14.801,15.77564,15.29705,11.76843,12.74508,12.26509,13.1587,14.13626,13.65554,13.58344,14.56534,14.0809,12.79405,13.77849,13.29205,11.99199,12.97441,12.48937,14.87016,15.84808,15.36722,8.84062,12.66595,14.1394,10.19316,14.05598,15.53039,10.40566,14.48633,15.9658,9.47464,13.69937,15.1815,8.77985,12.89518,14.37544,8.71555,13.85188,16.52275,7.00236,10.94109,12.61677,31
13.66007,12.25952,10.24722,11.95869,15.69719,17.16848,14.80173,15.77598,15.29759,11.7689,12.74529,12.26543,13.15926,14.13651,13.65594,13.58412,14.56565,14.0814,12.79468,13.77877,13.29252,11.99256,12.97467,12.48979,14.8708,15.84836,15.36768,8.84938,12.66618,14.13945,10.20399,14.05625,15.53045,10.4219,14.48667,15.96587,9.49191,13.69968,15.18157,8.79394,12.89546,14.3755,8.72786,13.85196,16.52283,7.04964,10.94789,12.61677,32
13.66007,12.22324,10.18362,11.91754,15.69578,17.16816,14.79938,15.77467,15.29548,11.76682,12.74413,12.26355,13.15723,14.13538,13.65411,13.58235,14.56467,14.07981,12.79313,13.77791,13.29112,11.99094,12.97376,12.48832,14.86872,15.84719,15.36579,8.81009,12.66492,14.13916,10.1642,14.05502,15.53017,10.37912,14.48561,15.96563,9.44871,13.69874,15.18136,8.75333,12.89448,14.37528,8.68684,13.85161,16.52241,6.98675,10.90985,12.61677,33
